Unit,Character,Definition,Pinyin,Radicals,Topic
A,一,one,yī,,numbers
A,二,two,èr,,numbers
A,三,three,sān,一,numbers
A,四,four,sì,囗,numbers
A,五,five,wǔ,二,numbers
A,王,king,wáng,玉,society
A,六,six,liù,八,numbers
A,七,seven,qī,一,numbers
A,八,eight,bā,,numbers
A,九,nine,jiǔ,乙,numbers
A,十,ten,shí,,numbers
A,林,forest,lín,木,nature
A,大,big,dà,,description
A,山,mountain,shān,,nature
A,明,bright,míng,日,description
A,北,north,běi,匕,geography
A,京,capital,jīng,亠,society
A,台,terrace,tái,口,building
A,何,"who, what how",hé,人,grammar
A,李,plum,lǐ,木,food
A,文,writing,wén,,language
A,生,"birth, life",,,life
A,中,middle,zhōng,丨,directions
A,小,small,xiǎo,,description
B,上,above,shàng,一,directions
B,海,ocean,hǎi,水,nature
B,广,broad,guǎng,,description
B,州,"state, district",zhōu,川,society
B,东,actions,dōng,一,geography
B,人,person,rén,,people
B,成,become,chéng,戈,actions
B,都,"large city, capital",dū,邑,society
B,天,"sky, heaven",tiān,大,nature
B,津,ford,jīn,水,nature
B,西,west,xī,,geography
B,路,road,lù,足,transportation
B,安,peace,ān,宀,society
B,川,river,chuān,,nature
B,香,fragrant,xiāng,,senses
B,港,harbor,gǎng,水,places
B,南,south,nán,十,geography
B,街,street,jiē,行,transportation
B,河,river,hé,水,nature
B,湖,lake,hú,水,nature
B,湾,bay,wān,水,nature
B,金,gold,jīn,,money
B,市,"market, city",shì,巾,places
B,省,province,shěng,目,places
1,你,you,nǐ,人,people
1,好,good,hǎo,女,description
1,我,I,wǒ,戈,people
1,也,also,yě,乙,grammar
1,去,go,qù,厶,movement
1,呢,and what about,ne,口,grammar
1,他,he,tā,人,people
1,她,she,tā,女,people
1,们,(plural pronoun marker),men,人,people
1,很,very,hěn,彳,grammar
1,忙,busy,máng,心,description
1,吗,(question particle),ma,口,grammar
1,老,old,lǎo,,life
1,高,tall,gāo,,description
1,不,no,bù,一,grammar
1,太,excessively,tài,大,grammar
1,难,difficult,nán,隹,perception
1,谢,thank,xiè,言,conversation
1,请,please,qǐng,言,conversation
1,坐,sit,zuò,土,actions
1,先,first,xiān,儿,numbers
1,走,leave,zǒu,,movement
1,了,(indicates change),le,亅,grammar
1,姐,older sister,jiě,女,family
2,哪,which,nǎ,口,grammar
2,国,country,guó,囗,places
2,问,ask,wèn,口,conversation
2,是,to be,shì,日,actions
2,美,beautiful,měi,羊,description
2,叫,be called,jiào,口,names
2,的,(indicates possession),de,白,grammar
2,同,same,tóng,口,misc.
2,屋,room,wū,尸,building
2,别,don't,bié,刀,grammar
2,名,name,míng,口,names
2,字,Chinese character,zì,宀,language
2,贵,expensive,guì,贝,money
2,姓,surname,xìng,女,names
2,个,(general measure word),ge,人,measure word
2,您,you (polite),nín,心,grammar
2,吧,(indicates supposition),ba,口,grammar
2,兴,excitement,xìng,八,emotions
2,片,flat piece,piàn,,measure word
2,没,(indicates past negative),méi,水,grammar
2,带,"take, bring",dài,巾,actions
2,公,"public, official",gōng,八,society
2,司,"bureau, department",sī,口,society
2,这,this,zhè,辶,grammar
3,几,how many,jǐ,,counting
3,位,(people measure word),wèi,人,measure word
3,两,two,liǎng,一,numbers
3,男,male,nán,田,people
3,女,female,nǚ,,people
3,师,teacher,shī,巾,school
3,多,many,duō,夕,counting
3,年,year,nián,干,time
3,纪,to record,jì,丝,actions
3,今,now,jīn,人,time
3,岁,year of age,suì,山,time
3,对,correct,duì,寸,perception
3,那,that,nà,邑,grammar
3,少,few,shǎo,小,counting
3,钱,money,qián,金,money
3,块,"piece, dollar",kuài,土,money
3,百,hundred,bǎi,白,numbers
3,千,thousand,qiān,十,numbers
3,点,"point, o'clock",diǎn,火,time
3,刻,quarter of an hour,kè,刀,time
3,半,half,bàn,十,counting
3,差,lack,chà,工,misc.
3,钟,clock,zhōng,金,time
3,头,head,tóu,大,body
4,谁,who,shéi,言,grammar
4,开,open; depart,kāi,廾,actions
4,门,"door, gate",mén,,building
4,关,close,guān,八,actions
4,星,star,xīng,日,nature
4,期,period of time,qī,月,time
4,什,what,shén,人,grammar
4,么,(common second syllable),me,丿,grammar
4,就,then; precisely,jiù,尢,grammar
4,月,moon; month,yuè,,nature
